year,make,model,trim,body,market,function_key,location_hint,tech,bulb_code,base,qty,serviceable,notes,source_1,source_2,confidence
1979,Subaru,BRAT,Base (US),Pickup,USDM,license_plate,Trunk/Bumper,bulb,89,G-6,2,true,,Owner's Manual,Wagner,high
1979,Subaru,BRAT,Base (US),Pickup,USDM,reverse,Rear Combo Lamp,bulb,1156,BA15s,2,true,,Owner's Manual,SuperBrightLEDs,high
1979,Subaru,BRAT,Base (US),Pickup,USDM,tail,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,Owner's Manual,SuperBrightLEDs,high
1979,Subaru,BRAT,Base (US),Pickup,USDM,turn_front,Bumper,bulb,1157,BAY15d,2,true,Park/Turn,Owner's Manual,SuperBrightLEDs,high
1979,Subaru,BRAT,Base (US),Pickup,USDM,turn_rear,Rear Combo Lamp,bulb,1156,BA15s,2,true,Amber,Owner's Manual,SuperBrightLEDs,high
1980,Subaru,BRAT,Base (US),Pickup,USDM,brake,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,Owner's Manual,Sylvania,high
1980,Subaru,BRAT,Base (US),Pickup,USDM,headlight_high,Headlamp Housing,sealed_beam,H4651,,2,true,Rectangular Sealed Beam High (4-Lamp System),Owner's Manual,Sylvania,high
1980,Subaru,BRAT,Base (US),Pickup,USDM,headlight_low,Headlamp Housing,sealed_beam,H4656,,2,true,Rectangular Sealed Beam Low (4-Lamp System),Owner's Manual,Sylvania,high
1980,Subaru,BRAT,Base (US),Pickup,USDM,license_plate,Trunk/Bumper,bulb,67,G-6,2,true,,Owner's Manual,Wagner,high
1980,Subaru,BRAT,Base (US),Pickup,USDM,reverse,Rear Combo Lamp,bulb,1156,BA15s,2,true,,Owner's Manual,Sylvania,high
1980,Subaru,BRAT,Base (US),Pickup,USDM,tail,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,Owner's Manual,Sylvania,high
1980,Subaru,BRAT,Base (US),Pickup,USDM,turn_front,Bumper,bulb,1157,BAY15d,2,true,Park/Turn,Owner's Manual,Sylvania,high
1980,Subaru,BRAT,Base (US),Pickup,USDM,turn_rear,Rear Combo Lamp,bulb,1156,BA15s,2,true,Amber,Owner's Manual,Dorman,high
1981,Subaru,BRAT,Base (US),Pickup,USDM,brake,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,Owner's Manual,Sylvania,high
1981,Subaru,BRAT,Base (US),Pickup,USDM,headlight_high,Headlamp Housing,sealed_beam,H4651,,2,true,Rectangular Sealed Beam High (4-Lamp System),Owner's Manual,Sylvania,high
1981,Subaru,BRAT,Base (US),Pickup,USDM,headlight_low,Headlamp Housing,sealed_beam,H4656,,2,true,Rectangular Sealed Beam Low (4-Lamp System),Owner's Manual,Sylvania,high
1981,Subaru,BRAT,Base (US),Pickup,USDM,license_plate,Trunk/Bumper,bulb,67,G-6,2,true,,Owner's Manual,Wagner,high
1981,Subaru,BRAT,Base (US),Pickup,USDM,reverse,Rear Combo Lamp,bulb,1156,BA15s,2,true,,Owner's Manual,Sylvania,high
1981,Subaru,BRAT,Base (US),Pickup,USDM,tail,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,Owner's Manual,Sylvania,high
1981,Subaru,BRAT,Base (US),Pickup,USDM,turn_front,Bumper,bulb,1157,BAY15d,2,true,Park/Turn,Owner's Manual,Sylvania,high
1981,Subaru,BRAT,Base (US),Pickup,USDM,turn_rear,Rear Combo Lamp,bulb,1156,BA15s,2,true,Amber,Owner's Manual,Dorman,high
1981,Subaru,Rex,4WD (JDM),Hatchback,JDM,brake,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,JDM FSM,JDM specs,medium
1981,Subaru,Rex,4WD (JDM),Hatchback,JDM,headlight_high,Headlamp Housing,bulb,H4 (9003),P43t,2,true,Dual filament,JDM FSM,JDM specs,medium
1981,Subaru,Rex,4WD (JDM),Hatchback,JDM,headlight_low,Headlamp Housing,bulb,H4 (9003),P43t,2,true,Dual filament,JDM FSM,JDM specs,medium
1981,Subaru,Rex,4WD (JDM),Hatchback,JDM,license_plate,Bumper,bulb,168,W2.1x9.5d,1,true,,JDM FSM,JDM specs,medium
1981,Subaru,Rex,4WD (JDM),Hatchback,JDM,parking_position_front,Corner Lamp,bulb,168,W2.1x9.5d,2,true,,JDM FSM,JDM specs,medium
1981,Subaru,Rex,4WD (JDM),Hatchback,JDM,reverse,Rear Combo Lamp,bulb,1156,BA15s,1,true,,JDM FSM,JDM specs,medium
1981,Subaru,Rex,4WD (JDM),Hatchback,JDM,tail,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,JDM FSM,JDM specs,medium
1981,Subaru,Rex,4WD (JDM),Hatchback,JDM,third_brake,Rear Glass,bulb,921,W2.1x9.5d,1,true,,JDM FSM,JDM specs,medium
1981,Subaru,Rex,4WD (JDM),Hatchback,JDM,turn_front,Bumper,bulb,1156,BA15s,2,true,Amber,JDM FSM,JDM specs,medium
1981,Subaru,Rex,4WD (JDM),Hatchback,JDM,turn_rear,Rear Combo Lamp,bulb,1156,BA15s,2,true,Amber,JDM FSM,JDM specs,medium
1981,Subaru,Rex,Standard (JDM),Hatchback,JDM,brake,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,JDM FSM,JDM specs,medium
1981,Subaru,Rex,Standard (JDM),Hatchback,JDM,headlight_high,Headlamp Housing,bulb,H4 (9003),P43t,2,true,Dual filament,JDM FSM,JDM specs,medium
1981,Subaru,Rex,Standard (JDM),Hatchback,JDM,headlight_low,Headlamp Housing,bulb,H4 (9003),P43t,2,true,Dual filament,JDM FSM,JDM specs,medium
1981,Subaru,Rex,Standard (JDM),Hatchback,JDM,license_plate,Bumper,bulb,168,W2.1x9.5d,1,true,,JDM FSM,JDM specs,medium
1981,Subaru,Rex,Standard (JDM),Hatchback,JDM,parking_position_front,Corner Lamp,bulb,168,W2.1x9.5d,2,true,,JDM FSM,JDM specs,medium
1981,Subaru,Rex,Standard (JDM),Hatchback,JDM,reverse,Rear Combo Lamp,bulb,1156,BA15s,1,true,,JDM FSM,JDM specs,medium
1981,Subaru,Rex,Standard (JDM),Hatchback,JDM,tail,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,JDM FSM,JDM specs,medium
1981,Subaru,Rex,Standard (JDM),Hatchback,JDM,third_brake,Rear Glass,bulb,921,W2.1x9.5d,1,true,,JDM FSM,JDM specs,medium
1981,Subaru,Rex,Standard (JDM),Hatchback,JDM,turn_front,Bumper,bulb,1156,BA15s,2,true,Amber,JDM FSM,JDM specs,medium
1981,Subaru,Rex,Standard (JDM),Hatchback,JDM,turn_rear,Rear Combo Lamp,bulb,1156,BA15s,2,true,Amber,JDM FSM,JDM specs,medium
1982,Subaru,BRAT,Base (US),Pickup,USDM,brake,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,Owner's Manual,Sylvania,high
1982,Subaru,BRAT,Base (US),Pickup,USDM,headlight_high,Headlamp Housing,sealed_beam,H4651,,2,true,Rectangular Sealed Beam High (4-Lamp System),Owner's Manual,Sylvania,high
1982,Subaru,BRAT,Base (US),Pickup,USDM,headlight_low,Headlamp Housing,sealed_beam,H4656,,2,true,Rectangular Sealed Beam Low (4-Lamp System),Owner's Manual,Sylvania,high
1982,Subaru,BRAT,Base (US),Pickup,USDM,license_plate,Trunk/Bumper,bulb,67,G-6,2,true,,Owner's Manual,Wagner,high
1982,Subaru,BRAT,Base (US),Pickup,USDM,reverse,Rear Combo Lamp,bulb,1156,BA15s,2,true,,Owner's Manual,Sylvania,high
1982,Subaru,BRAT,Base (US),Pickup,USDM,tail,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,Owner's Manual,Sylvania,high
1982,Subaru,BRAT,Base (US),Pickup,USDM,turn_front,Bumper,bulb,1157,BAY15d,2,true,Park/Turn,Owner's Manual,Sylvania,high
1982,Subaru,BRAT,Base (US),Pickup,USDM,turn_rear,Rear Combo Lamp,bulb,1156,BA15s,2,true,Amber,Owner's Manual,Dorman,high
1982,Subaru,Rex,4WD (JDM),Hatchback,JDM,brake,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,JDM FSM,JDM specs,medium
1982,Subaru,Rex,4WD (JDM),Hatchback,JDM,headlight_high,Headlamp Housing,bulb,H4 (9003),P43t,2,true,Dual filament,JDM FSM,JDM specs,medium
1982,Subaru,Rex,4WD (JDM),Hatchback,JDM,headlight_low,Headlamp Housing,bulb,H4 (9003),P43t,2,true,Dual filament,JDM FSM,JDM specs,medium
1982,Subaru,Rex,4WD (JDM),Hatchback,JDM,license_plate,Bumper,bulb,168,W2.1x9.5d,1,true,,JDM FSM,JDM specs,medium
1982,Subaru,Rex,4WD (JDM),Hatchback,JDM,parking_position_front,Corner Lamp,bulb,168,W2.1x9.5d,2,true,,JDM FSM,JDM specs,medium
1982,Subaru,Rex,4WD (JDM),Hatchback,JDM,reverse,Rear Combo Lamp,bulb,1156,BA15s,1,true,,JDM FSM,JDM specs,medium
1982,Subaru,Rex,4WD (JDM),Hatchback,JDM,tail,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,JDM FSM,JDM specs,medium
1982,Subaru,Rex,4WD (JDM),Hatchback,JDM,third_brake,Rear Glass,bulb,921,W2.1x9.5d,1,true,,JDM FSM,JDM specs,medium
1982,Subaru,Rex,4WD (JDM),Hatchback,JDM,turn_front,Bumper,bulb,1156,BA15s,2,true,Amber,JDM FSM,JDM specs,medium
1982,Subaru,Rex,4WD (JDM),Hatchback,JDM,turn_rear,Rear Combo Lamp,bulb,1156,BA15s,2,true,Amber,JDM FSM,JDM specs,medium
1982,Subaru,Rex,Standard (JDM),Hatchback,JDM,brake,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,JDM FSM,JDM specs,medium
1982,Subaru,Rex,Standard (JDM),Hatchback,JDM,headlight_high,Headlamp Housing,bulb,H4 (9003),P43t,2,true,Dual filament,JDM FSM,JDM specs,medium
1982,Subaru,Rex,Standard (JDM),Hatchback,JDM,headlight_low,Headlamp Housing,bulb,H4 (9003),P43t,2,true,Dual filament,JDM FSM,JDM specs,medium
1982,Subaru,Rex,Standard (JDM),Hatchback,JDM,license_plate,Bumper,bulb,168,W2.1x9.5d,1,true,,JDM FSM,JDM specs,medium
1982,Subaru,Rex,Standard (JDM),Hatchback,JDM,parking_position_front,Corner Lamp,bulb,168,W2.1x9.5d,2,true,,JDM FSM,JDM specs,medium
1982,Subaru,Rex,Standard (JDM),Hatchback,JDM,reverse,Rear Combo Lamp,bulb,1156,BA15s,1,true,,JDM FSM,JDM specs,medium
1982,Subaru,Rex,Standard (JDM),Hatchback,JDM,tail,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,JDM FSM,JDM specs,medium
1982,Subaru,Rex,Standard (JDM),Hatchback,JDM,third_brake,Rear Glass,bulb,921,W2.1x9.5d,1,true,,JDM FSM,JDM specs,medium
1982,Subaru,Rex,Standard (JDM),Hatchback,JDM,turn_front,Bumper,bulb,1156,BA15s,2,true,Amber,JDM FSM,JDM specs,medium
1982,Subaru,Rex,Standard (JDM),Hatchback,JDM,turn_rear,Rear Combo Lamp,bulb,1156,BA15s,2,true,Amber,JDM FSM,JDM specs,medium
1983,Subaru,BRAT,Base (US),Pickup,USDM,brake,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,Owner's Manual,Sylvania,high
1983,Subaru,BRAT,Base (US),Pickup,USDM,headlight_high,Headlamp Housing,sealed_beam,H4651,,2,true,Rectangular Sealed Beam High (4-Lamp System),Owner's Manual,Sylvania,high
1983,Subaru,BRAT,Base (US),Pickup,USDM,headlight_low,Headlamp Housing,sealed_beam,H4656,,2,true,Rectangular Sealed Beam Low (4-Lamp System),Owner's Manual,Sylvania,high
1983,Subaru,BRAT,Base (US),Pickup,USDM,license_plate,Trunk/Bumper,bulb,67,G-6,2,true,,Owner's Manual,Wagner,high
1983,Subaru,BRAT,Base (US),Pickup,USDM,reverse,Rear Combo Lamp,bulb,1156,BA15s,2,true,,Owner's Manual,Sylvania,high
1983,Subaru,BRAT,Base (US),Pickup,USDM,tail,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,Owner's Manual,Sylvania,high
1983,Subaru,BRAT,Base (US),Pickup,USDM,turn_front,Bumper,bulb,1157,BAY15d,2,true,Park/Turn,Owner's Manual,Sylvania,high
1983,Subaru,BRAT,Base (US),Pickup,USDM,turn_rear,Rear Combo Lamp,bulb,1156,BA15s,2,true,Amber,Owner's Manual,Dorman,high
1983,Subaru,GL,Wagon (US),Wagon,USDM,brake,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,Owner's Manual,Sylvania,high
1983,Subaru,GL,Wagon (US),Wagon,USDM,headlight_high,Headlamp Housing,sealed_beam,H4651,,2,true,Rectangular Sealed Beam High (4-Lamp System),Owner's Manual,Sylvania,high
1983,Subaru,GL,Wagon (US),Wagon,USDM,headlight_low,Headlamp Housing,sealed_beam,H4656,,2,true,Rectangular Sealed Beam Low (4-Lamp System),Owner's Manual,Sylvania,high
1983,Subaru,GL,Wagon (US),Wagon,USDM,license_plate,Trunk/Bumper,bulb,194,W2.1x9.5d,2,true,,Owner's Manual,Sylvania,high
1983,Subaru,GL,Wagon (US),Wagon,USDM,reverse,Rear Combo Lamp,bulb,1156,BA15s,2,true,,Owner's Manual,Sylvania,high
1983,Subaru,GL,Wagon (US),Wagon,USDM,tail,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,Owner's Manual,Sylvania,high
1983,Subaru,GL,Wagon (US),Wagon,USDM,turn_front,Bumper,bulb,1157,BAY15d,2,true,Park/Turn,Owner's Manual,Sylvania,high
1983,Subaru,GL,Wagon (US),Wagon,USDM,turn_rear,Rear Combo Lamp,bulb,1156,BA15s,2,true,,Owner's Manual,Sylvania,high
1983,Subaru,Rex,4WD (JDM),Hatchback,JDM,brake,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,JDM FSM,JDM specs,medium
1983,Subaru,Rex,4WD (JDM),Hatchback,JDM,headlight_high,Headlamp Housing,bulb,H4 (9003),P43t,2,true,Dual filament,JDM FSM,JDM specs,medium
1983,Subaru,Rex,4WD (JDM),Hatchback,JDM,headlight_low,Headlamp Housing,bulb,H4 (9003),P43t,2,true,Dual filament,JDM FSM,JDM specs,medium
1983,Subaru,Rex,4WD (JDM),Hatchback,JDM,license_plate,Bumper,bulb,168,W2.1x9.5d,1,true,,JDM FSM,JDM specs,medium
1983,Subaru,Rex,4WD (JDM),Hatchback,JDM,parking_position_front,Corner Lamp,bulb,168,W2.1x9.5d,2,true,,JDM FSM,JDM specs,medium
1983,Subaru,Rex,4WD (JDM),Hatchback,JDM,reverse,Rear Combo Lamp,bulb,1156,BA15s,1,true,,JDM FSM,JDM specs,medium
1983,Subaru,Rex,4WD (JDM),Hatchback,JDM,tail,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,JDM FSM,JDM specs,medium
1983,Subaru,Rex,4WD (JDM),Hatchback,JDM,third_brake,Rear Glass,bulb,921,W2.1x9.5d,1,true,,JDM FSM,JDM specs,medium
1983,Subaru,Rex,4WD (JDM),Hatchback,JDM,turn_front,Bumper,bulb,1156,BA15s,2,true,Amber,JDM FSM,JDM specs,medium
1983,Subaru,Rex,4WD (JDM),Hatchback,JDM,turn_rear,Rear Combo Lamp,bulb,1156,BA15s,2,true,Amber,JDM FSM,JDM specs,medium
1983,Subaru,Rex,Standard (JDM),Hatchback,JDM,brake,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,JDM FSM,JDM specs,medium
1983,Subaru,Rex,Standard (JDM),Hatchback,JDM,headlight_high,Headlamp Housing,bulb,H4 (9003),P43t,2,true,Dual filament,JDM FSM,JDM specs,medium
1983,Subaru,Rex,Standard (JDM),Hatchback,JDM,headlight_low,Headlamp Housing,bulb,H4 (9003),P43t,2,true,Dual filament,JDM FSM,JDM specs,medium
1983,Subaru,Rex,Standard (JDM),Hatchback,JDM,license_plate,Bumper,bulb,168,W2.1x9.5d,1,true,,JDM FSM,JDM specs,medium
1983,Subaru,Rex,Standard (JDM),Hatchback,JDM,parking_position_front,Corner Lamp,bulb,168,W2.1x9.5d,2,true,,JDM FSM,JDM specs,medium
1983,Subaru,Rex,Standard (JDM),Hatchback,JDM,reverse,Rear Combo Lamp,bulb,1156,BA15s,1,true,,JDM FSM,JDM specs,medium
1983,Subaru,Rex,Standard (JDM),Hatchback,JDM,tail,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,JDM FSM,JDM specs,medium
1983,Subaru,Rex,Standard (JDM),Hatchback,JDM,third_brake,Rear Glass,bulb,921,W2.1x9.5d,1,true,,JDM FSM,JDM specs,medium
1983,Subaru,Rex,Standard (JDM),Hatchback,JDM,turn_front,Bumper,bulb,1156,BA15s,2,true,Amber,JDM FSM,JDM specs,medium
1983,Subaru,Rex,Standard (JDM),Hatchback,JDM,turn_rear,Rear Combo Lamp,bulb,1156,BA15s,2,true,Amber,JDM FSM,JDM specs,medium
1984,Subaru,BRAT,Base (US),Pickup,USDM,brake,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,Owner's Manual,Sylvania,high
1984,Subaru,BRAT,Base (US),Pickup,USDM,headlight_high,Headlamp Housing,sealed_beam,H4651,,2,true,Rectangular Sealed Beam High (4-Lamp System),Owner's Manual,Sylvania,high
1984,Subaru,BRAT,Base (US),Pickup,USDM,headlight_low,Headlamp Housing,sealed_beam,H4656,,2,true,Rectangular Sealed Beam Low (4-Lamp System),Owner's Manual,Sylvania,high
1984,Subaru,BRAT,Base (US),Pickup,USDM,license_plate,Trunk/Bumper,bulb,67,G-6,2,true,,Owner's Manual,Wagner,high
1984,Subaru,BRAT,Base (US),Pickup,USDM,reverse,Rear Combo Lamp,bulb,1156,BA15s,2,true,,Owner's Manual,Sylvania,high
1984,Subaru,BRAT,Base (US),Pickup,USDM,tail,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,Owner's Manual,Sylvania,high
1984,Subaru,BRAT,Base (US),Pickup,USDM,turn_front,Bumper,bulb,1157,BAY15d,2,true,Park/Turn,Owner's Manual,Sylvania,high
1984,Subaru,BRAT,Base (US),Pickup,USDM,turn_rear,Rear Combo Lamp,bulb,1156,BA15s,2,true,Amber,Owner's Manual,Dorman,high
1984,Subaru,Justy,4WD (JDM),Hatchback,JDM,brake,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,JDM FSM,JDM specs,medium
1984,Subaru,Justy,4WD (JDM),Hatchback,JDM,headlight_high,Headlamp Housing,bulb,H4 (9003),P43t,2,true,Dual filament,JDM FSM,JDM specs,medium
1984,Subaru,Justy,4WD (JDM),Hatchback,JDM,headlight_low,Headlamp Housing,bulb,H4 (9003),P43t,2,true,Dual filament,JDM FSM,JDM specs,medium
1984,Subaru,Justy,4WD (JDM),Hatchback,JDM,license_plate,Trunk/Bumper,bulb,168,W2.1x9.5d,2,true,,JDM FSM,JDM specs,medium
1984,Subaru,Justy,4WD (JDM),Hatchback,JDM,parking_position_front,Corner Lamp,bulb,168,W2.1x9.5d,2,true,,JDM FSM,JDM specs,medium
1984,Subaru,Justy,4WD (JDM),Hatchback,JDM,reverse,Rear Combo Lamp,bulb,1156,BA15s,2,true,,JDM FSM,JDM specs,medium
1984,Subaru,Justy,4WD (JDM),Hatchback,JDM,tail,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,JDM FSM,JDM specs,medium
1984,Subaru,Justy,4WD (JDM),Hatchback,JDM,turn_front,Bumper/Corner,bulb,1156,BA15s,2,true,Amber,JDM FSM,JDM specs,medium
1984,Subaru,Justy,4WD (JDM),Hatchback,JDM,turn_rear,Rear Combo Lamp,bulb,1156,BA15s,2,true,Amber,JDM FSM,JDM specs,medium
1984,Subaru,Justy,J (JDM),Hatchback,JDM,brake,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,JDM FSM,JDM specs,medium
1984,Subaru,Justy,J (JDM),Hatchback,JDM,headlight_high,Headlamp Housing,bulb,H4 (9003),P43t,2,true,Dual filament,JDM FSM,JDM specs,medium
1984,Subaru,Justy,J (JDM),Hatchback,JDM,headlight_low,Headlamp Housing,bulb,H4 (9003),P43t,2,true,Dual filament,JDM FSM,JDM specs,medium
1984,Subaru,Justy,J (JDM),Hatchback,JDM,license_plate,Trunk/Bumper,bulb,168,W2.1x9.5d,2,true,,JDM FSM,JDM specs,medium
1984,Subaru,Justy,J (JDM),Hatchback,JDM,parking_position_front,Corner Lamp,bulb,168,W2.1x9.5d,2,true,,JDM FSM,JDM specs,medium
1984,Subaru,Justy,J (JDM),Hatchback,JDM,reverse,Rear Combo Lamp,bulb,1156,BA15s,2,true,,JDM FSM,JDM specs,medium
1984,Subaru,Justy,J (JDM),Hatchback,JDM,tail,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,JDM FSM,JDM specs,medium
1984,Subaru,Justy,J (JDM),Hatchback,JDM,turn_front,Bumper/Corner,bulb,1156,BA15s,2,true,Amber,JDM FSM,JDM specs,medium
1984,Subaru,Justy,J (JDM),Hatchback,JDM,turn_rear,Rear Combo Lamp,bulb,1156,BA15s,2,true,Amber,JDM FSM,JDM specs,medium
1984,Subaru,Justy,JL (JDM),Hatchback,JDM,brake,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,JDM FSM,JDM specs,medium
1984,Subaru,Justy,JL (JDM),Hatchback,JDM,headlight_high,Headlamp Housing,bulb,H4 (9003),P43t,2,true,Dual filament,JDM FSM,JDM specs,medium
1984,Subaru,Justy,JL (JDM),Hatchback,JDM,headlight_low,Headlamp Housing,bulb,H4 (9003),P43t,2,true,Dual filament,JDM FSM,JDM specs,medium
1984,Subaru,Justy,JL (JDM),Hatchback,JDM,license_plate,Trunk/Bumper,bulb,168,W2.1x9.5d,2,true,,JDM FSM,JDM specs,medium
1984,Subaru,Justy,JL (JDM),Hatchback,JDM,parking_position_front,Corner Lamp,bulb,168,W2.1x9.5d,2,true,,JDM FSM,JDM specs,medium
1984,Subaru,Justy,JL (JDM),Hatchback,JDM,reverse,Rear Combo Lamp,bulb,1156,BA15s,2,true,,JDM FSM,JDM specs,medium
1984,Subaru,Justy,JL (JDM),Hatchback,JDM,tail,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,JDM FSM,JDM specs,medium
1984,Subaru,Justy,JL (JDM),Hatchback,JDM,turn_front,Bumper/Corner,bulb,1156,BA15s,2,true,Amber,JDM FSM,JDM specs,medium
1984,Subaru,Justy,JL (JDM),Hatchback,JDM,turn_rear,Rear Combo Lamp,bulb,1156,BA15s,2,true,Amber,JDM FSM,JDM specs,medium
1984,Subaru,Rex,4WD (JDM),Hatchback,JDM,brake,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,JDM FSM,JDM specs,medium
1984,Subaru,Rex,4WD (JDM),Hatchback,JDM,headlight_high,Headlamp Housing,bulb,H4 (9003),P43t,2,true,Dual filament,JDM FSM,JDM specs,medium
1984,Subaru,Rex,4WD (JDM),Hatchback,JDM,headlight_low,Headlamp Housing,bulb,H4 (9003),P43t,2,true,Dual filament,JDM FSM,JDM specs,medium
1984,Subaru,Rex,4WD (JDM),Hatchback,JDM,license_plate,Bumper,bulb,168,W2.1x9.5d,1,true,,JDM FSM,JDM specs,medium
1984,Subaru,Rex,4WD (JDM),Hatchback,JDM,parking_position_front,Corner Lamp,bulb,168,W2.1x9.5d,2,true,,JDM FSM,JDM specs,medium
1984,Subaru,Rex,4WD (JDM),Hatchback,JDM,reverse,Rear Combo Lamp,bulb,1156,BA15s,1,true,,JDM FSM,JDM specs,medium
1984,Subaru,Rex,4WD (JDM),Hatchback,JDM,tail,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,JDM FSM,JDM specs,medium
1984,Subaru,Rex,4WD (JDM),Hatchback,JDM,third_brake,Rear Glass,bulb,921,W2.1x9.5d,1,true,,JDM FSM,JDM specs,medium
1984,Subaru,Rex,4WD (JDM),Hatchback,JDM,turn_front,Bumper,bulb,1156,BA15s,2,true,Amber,JDM FSM,JDM specs,medium
1984,Subaru,Rex,4WD (JDM),Hatchback,JDM,turn_rear,Rear Combo Lamp,bulb,1156,BA15s,2,true,Amber,JDM FSM,JDM specs,medium
1984,Subaru,Rex,Standard (JDM),Hatchback,JDM,brake,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,JDM FSM,JDM specs,medium
1984,Subaru,Rex,Standard (JDM),Hatchback,JDM,headlight_high,Headlamp Housing,bulb,H4 (9003),P43t,2,true,Dual filament,JDM FSM,JDM specs,medium
1984,Subaru,Rex,Standard (JDM),Hatchback,JDM,headlight_low,Headlamp Housing,bulb,H4 (9003),P43t,2,true,Dual filament,JDM FSM,JDM specs,medium
1984,Subaru,Rex,Standard (JDM),Hatchback,JDM,license_plate,Bumper,bulb,168,W2.1x9.5d,1,true,,JDM FSM,JDM specs,medium
1984,Subaru,Rex,Standard (JDM),Hatchback,JDM,parking_position_front,Corner Lamp,bulb,168,W2.1x9.5d,2,true,,JDM FSM,JDM specs,medium
1984,Subaru,Rex,Standard (JDM),Hatchback,JDM,reverse,Rear Combo Lamp,bulb,1156,BA15s,1,true,,JDM FSM,JDM specs,medium
1984,Subaru,Rex,Standard (JDM),Hatchback,JDM,tail,Rear Combo Lamp,bulb,1157,BAY15d,2,true,Stop/Tail,JDM FSM,JDM specs,medium
