year,make,model,trim,body,market,engine_oil_qty,engine_oil_unit,engine_coolant_qty,engine_coolant_unit,brake_fluid_qty,brake_fluid_unit,washer_fluid_qty,washer_fluid_unit,power_steering_fluid_qty,power_steering_fluid_unit,clutch_hydraulic_fluid_qty,clutch_hydraulic_fluid_unit,manual_trans_fluid_qty,manual_trans_fluid_unit,automatic_trans_fluid_qty,automatic_trans_fluid_unit,cvt_fluid_qty,cvt_fluid_unit,front_diff_fluid_qty,front_diff_fluid_unit,rear_diff_fluid_qty,rear_diff_fluid_unit,center_diff_or_transfer_fluid_qty,center_diff_or_transfer_fluid_unit,ac_refrigerant_qty,ac_refrigerant_unit,ac_compressor_oil_qty,ac_compressor_oil_unit,notes,source_1,source_2,confidence
1983,Subaru,Rex,4WD (JDM),,JDM,w/ filter: 2.5 qt / 2.4 L,10W-30 (API SF/SG),capacity: 3.8 qt / 3.6 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 1.8 qt / 1.7 L,80W GL-4,,,,,,,capacity: 0.5 qt / 0.47 L,80W-90 GL-5,,,,R-12,,,front diff shared; rear diff: 4WD only; washer: fill to max,Subaru Rex FSM,JDM specs,low
1983,Subaru,Rex,Standard (JDM),,JDM,w/ filter: 2.5 qt / 2.4 L,10W-30 (API SF/SG),capacity: 3.8 qt / 3.6 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 1.8 qt / 1.7 L,80W GL-4,,,,,,,capacity: 0.5 qt / 0.47 L,80W-90 GL-5,,,,R-12,,,front diff shared; rear diff: 4WD only; washer: fill to max,Subaru Rex FSM,JDM specs,low
1984,Subaru,BRAT,Base (US),,USDM,w/ filter: 4.2 qt / 4.0 L | w/o filter: 3.2 qt / 3.0 L,10W-40 (API SF/SG),capacity: 5.8 qt / 5.5 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,drain & fill: 2.6 qt / 2.5 L | total (dry): 10.0 qt / 9.5 L,DEXRON II,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,AMSOIL Product Guide,worldsbestoil.ca,medium
1984,Subaru,Justy,4WD (JDM),,JDM,w/ filter: 3.0 qt / 2.8 L,10W-30 (API SG),MT: 4.5 qt / 4.3 L | ECVT: 5.2 qt / 4.9 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,FWD: 2.3 qt / 2.2 L | 4WD: 3.5 qt / 3.3 L,80W GL-4,initial fill: 1.9 qt / 1.8 L | total FWD: 3.6 qt / 3.4 L | total 4WD: 4.3 qt / 4.1 L,DEXRON II/III,,,,,capacity: 0.6 qt / 0.57 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; AT: ECVT; rear diff: 4WD only; washer: fill to max,dustysjustys.com,AMSOIL,high
1984,Subaru,Justy,J (JDM),,JDM,w/ filter: 2.8 qt / 2.6 L,10W-30 (API SG),capacity: 4.2 qt / 4.0 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 2.0 qt / 1.9 L,80W GL-4,,,,,,,,,,,,R-12,,,front diff shared; FWD (no rear diff); washer: fill to max,Subaru Justy FSM,dustysjustys.com,medium
1984,Subaru,Justy,JL (JDM),,JDM,w/ filter: 3.0 qt / 2.8 L,10W-30 (API SG),MT: 4.5 qt / 4.3 L | ECVT: 5.2 qt / 4.9 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,FWD: 2.3 qt / 2.2 L | 4WD: 3.5 qt / 3.3 L,80W GL-4,initial fill: 1.9 qt / 1.8 L | total FWD: 3.6 qt / 3.4 L | total 4WD: 4.3 qt / 4.1 L,DEXRON II/III,,,,,,,,,,R-12,,,front diff shared with manual trans; AT: ECVT; FWD (no rear diff); washer: fill to max,dustysjustys.com,AMSOIL,high
1984,Subaru,Rex,4WD (JDM),,JDM,w/ filter: 2.5 qt / 2.4 L,10W-30 (API SF/SG),capacity: 3.8 qt / 3.6 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 1.8 qt / 1.7 L,80W GL-4,,,,,,,capacity: 0.5 qt / 0.47 L,80W-90 GL-5,,,,R-12,,,front diff shared; rear diff: 4WD only; washer: fill to max,Subaru Rex FSM,JDM specs,low
1984,Subaru,Rex,Standard (JDM),,JDM,w/ filter: 2.5 qt / 2.4 L,10W-30 (API SF/SG),capacity: 3.8 qt / 3.6 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 1.8 qt / 1.7 L,80W GL-4,,,,,,,capacity: 0.5 qt / 0.47 L,80W-90 GL-5,,,,R-12,,,front diff shared; rear diff: 4WD only; washer: fill to max,Subaru Rex FSM,JDM specs,low
1985,Subaru,Alcyone,VR (JDM),,JDM,w/ filter: 4.2 qt / 4.0 L,10W-30 | 10W-40 (API SG),capacity: 5.8 qt / 5.5 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON II ATF,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,drain & fill: 2.6 qt / 2.5 L | total (dry): 10.0 qt / 9.5 L,DEXRON II,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1985,Subaru,Alcyone,VR-II (JDM),,JDM,w/ filter: 4.2 qt / 4.0 L,10W-30 | 10W-40 (API SG),capacity: 5.8 qt / 5.5 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON II ATF,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,drain & fill: 2.6 qt / 2.5 L | total (dry): 10.0 qt / 9.5 L,DEXRON II,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1985,Subaru,BRAT,Base (US),,USDM,w/ filter: 4.2 qt / 4.0 L,10W-30 | 10W-40 (API SG),capacity: 5.8 qt / 5.5 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON II ATF,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,drain & fill: 2.6 qt / 2.5 L | total (dry): 10.0 qt / 9.5 L,DEXRON II,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1985,Subaru,GL,Wagon (US),,USDM,w/ filter: 4.2 qt / 4.0 L,10W-30 | 10W-40 (API SG),capacity: 5.8 qt / 5.5 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON II ATF,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,drain & fill: 2.6 qt / 2.5 L | total (dry): 10.0 qt / 9.5 L,DEXRON II,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1985,Subaru,GL-10,Turbo (US),,USDM,w/ filter: 4.2 qt / 4.0 L,10W-30 | 10W-40 (API SG),capacity: 5.8 qt / 5.5 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON II ATF,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,drain & fill: 2.6 qt / 2.5 L | total (dry): 10.0 qt / 9.5 L,DEXRON II,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1985,Subaru,Justy,4WD (JDM),,JDM,w/ filter: 3.0 qt / 2.8 L,10W-30 (API SG),MT: 4.5 qt / 4.3 L | ECVT: 5.2 qt / 4.9 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,FWD: 2.3 qt / 2.2 L | 4WD: 3.5 qt / 3.3 L,80W GL-4,initial fill: 1.9 qt / 1.8 L | total FWD: 3.6 qt / 3.4 L | total 4WD: 4.3 qt / 4.1 L,DEXRON II/III,,,,,capacity: 0.6 qt / 0.57 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; AT: ECVT; rear diff: 4WD only; washer: fill to max,dustysjustys.com,AMSOIL,high
1985,Subaru,Justy,J (JDM),,JDM,w/ filter: 2.8 qt / 2.6 L,10W-30 (API SG),capacity: 4.2 qt / 4.0 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 2.0 qt / 1.9 L,80W GL-4,,,,,,,,,,,,R-12,,,front diff shared; FWD (no rear diff); washer: fill to max,Subaru Justy FSM,dustysjustys.com,medium
1985,Subaru,Justy,JL (JDM),,JDM,w/ filter: 3.0 qt / 2.8 L,10W-30 (API SG),MT: 4.5 qt / 4.3 L | ECVT: 5.2 qt / 4.9 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,FWD: 2.3 qt / 2.2 L | 4WD: 3.5 qt / 3.3 L,80W GL-4,initial fill: 1.9 qt / 1.8 L | total FWD: 3.6 qt / 3.4 L | total 4WD: 4.3 qt / 4.1 L,DEXRON II/III,,,,,,,,,,R-12,,,front diff shared with manual trans; AT: ECVT; FWD (no rear diff); washer: fill to max,dustysjustys.com,AMSOIL,high
1985,Subaru,Rex,4WD (JDM),,JDM,w/ filter: 2.5 qt / 2.4 L,10W-30 (API SF/SG),capacity: 3.8 qt / 3.6 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 1.8 qt / 1.7 L,80W GL-4,,,,,,,capacity: 0.5 qt / 0.47 L,80W-90 GL-5,,,,R-12,,,front diff shared; rear diff: 4WD only; washer: fill to max,Subaru Rex FSM,JDM specs,low
1985,Subaru,Rex,Standard (JDM),,JDM,w/ filter: 2.5 qt / 2.4 L,10W-30 (API SF/SG),capacity: 3.8 qt / 3.6 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 1.8 qt / 1.7 L,80W GL-4,,,,,,,capacity: 0.5 qt / 0.47 L,80W-90 GL-5,,,,R-12,,,front diff shared; rear diff: 4WD only; washer: fill to max,Subaru Rex FSM,JDM specs,low
1985,Subaru,XT,DL (US),,USDM,w/ filter: 4.2 qt / 4.0 L,10W-30 | 10W-40 (API SG),capacity: 5.8 qt / 5.5 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON II ATF,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,drain & fill: 2.6 qt / 2.5 L | total (dry): 10.0 qt / 9.5 L,DEXRON II,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1986,Subaru,Alcyone,VR (JDM),,JDM,w/ filter: 4.2 qt / 4.0 L,10W-30 | 10W-40 (API SG),capacity: 5.8 qt / 5.5 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON II ATF,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,drain & fill: 2.6 qt / 2.5 L | total (dry): 10.0 qt / 9.5 L,DEXRON II,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1986,Subaru,Alcyone,VR-II (JDM),,JDM,w/ filter: 4.2 qt / 4.0 L,10W-30 | 10W-40 (API SG),capacity: 5.8 qt / 5.5 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON II ATF,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,drain & fill: 2.6 qt / 2.5 L | total (dry): 10.0 qt / 9.5 L,DEXRON II,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1986,Subaru,BRAT,Base (US),,USDM,w/ filter: 4.2 qt / 4.0 L,10W-30 | 10W-40 (API SG),capacity: 5.8 qt / 5.5 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON II ATF,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,drain & fill: 2.6 qt / 2.5 L | total (dry): 10.0 qt / 9.5 L,DEXRON II,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1986,Subaru,GL,Wagon (US),,USDM,w/ filter: 4.2 qt / 4.0 L,10W-30 | 10W-40 (API SG),capacity: 5.8 qt / 5.5 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON II ATF,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,drain & fill: 2.6 qt / 2.5 L | total (dry): 10.0 qt / 9.5 L,DEXRON II,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1986,Subaru,GL-10,Turbo (US),,USDM,w/ filter: 4.2 qt / 4.0 L,10W-30 | 10W-40 (API SG),capacity: 5.8 qt / 5.5 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON II ATF,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,drain & fill: 2.6 qt / 2.5 L | total (dry): 10.0 qt / 9.5 L,DEXRON II,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1986,Subaru,Justy,4WD (JDM),,JDM,w/ filter: 3.0 qt / 2.8 L,10W-30 (API SG),MT: 4.5 qt / 4.3 L | ECVT: 5.2 qt / 4.9 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,FWD: 2.3 qt / 2.2 L | 4WD: 3.5 qt / 3.3 L,80W GL-4,initial fill: 1.9 qt / 1.8 L | total FWD: 3.6 qt / 3.4 L | total 4WD: 4.3 qt / 4.1 L,DEXRON II/III,,,,,capacity: 0.6 qt / 0.57 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; AT: ECVT; rear diff: 4WD only; washer: fill to max,dustysjustys.com,AMSOIL,high
1986,Subaru,Justy,J (JDM),,JDM,w/ filter: 2.8 qt / 2.6 L,10W-30 (API SG),capacity: 4.2 qt / 4.0 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 2.0 qt / 1.9 L,80W GL-4,,,,,,,,,,,,R-12,,,front diff shared; FWD (no rear diff); washer: fill to max,Subaru Justy FSM,dustysjustys.com,medium
1986,Subaru,Justy,JL (JDM),,JDM,w/ filter: 3.0 qt / 2.8 L,10W-30 (API SG),MT: 4.5 qt / 4.3 L | ECVT: 5.2 qt / 4.9 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,FWD: 2.3 qt / 2.2 L | 4WD: 3.5 qt / 3.3 L,80W GL-4,initial fill: 1.9 qt / 1.8 L | total FWD: 3.6 qt / 3.4 L | total 4WD: 4.3 qt / 4.1 L,DEXRON II/III,,,,,,,,,,R-12,,,front diff shared with manual trans; AT: ECVT; FWD (no rear diff); washer: fill to max,dustysjustys.com,AMSOIL,high
1986,Subaru,Rex,4WD (JDM),,JDM,w/ filter: 2.5 qt / 2.4 L,10W-30 (API SF/SG),capacity: 3.8 qt / 3.6 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 1.8 qt / 1.7 L,80W GL-4,,,,,,,capacity: 0.5 qt / 0.47 L,80W-90 GL-5,,,,R-12,,,front diff shared; rear diff: 4WD only; washer: fill to max,Subaru Rex FSM,JDM specs,low
1986,Subaru,Rex,Standard (JDM),,JDM,w/ filter: 2.5 qt / 2.4 L,10W-30 (API SF/SG),capacity: 3.8 qt / 3.6 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 1.8 qt / 1.7 L,80W GL-4,,,,,,,capacity: 0.5 qt / 0.47 L,80W-90 GL-5,,,,R-12,,,front diff shared; rear diff: 4WD only; washer: fill to max,Subaru Rex FSM,JDM specs,low
1986,Subaru,Rex,VX (JDM),,JDM,w/ filter: 2.7 qt / 2.6 L,5W-30 (API SN),capacity: 4.2 qt / 4.0 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 2.1 qt / 2.0 L,75W-90 GL-4,,,drain & fill: 2.5 qt / 2.4 L,Subaru CVT Fluid,,,capacity: 0.6 qt / 0.57 L,75W-90 GL-5,,,,R-134a,,,front diff shared; rear diff: 4WD only; washer: fill to max,Subaru Kei FSM,JDM specs,medium
1986,Subaru,Rex,VX Supercharger (JDM),,JDM,w/ filter: 2.5 qt / 2.4 L,10W-30 (API SF/SG),capacity: 3.8 qt / 3.6 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,capacity: 1.8 qt / 1.7 L,80W GL-4,,,,,,,capacity: 0.5 qt / 0.47 L,80W-90 GL-5,,,,R-12,,,front diff shared; rear diff: 4WD only; washer: fill to max,Subaru Rex FSM,JDM specs,low
1986,Subaru,XT,GL (US),,USDM,w/ filter: 4.2 qt / 4.0 L,10W-30 | 10W-40 (API SG),capacity: 5.8 qt / 5.5 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON II ATF,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,drain & fill: 2.6 qt / 2.5 L | total (dry): 10.0 qt / 9.5 L,DEXRON II,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1987,Subaru,Alcyone,VR (JDM),,JDM,w/ filter: 4.2 qt / 4.0 L,10W-30 | 10W-40 (API SG),capacity: 5.8 qt / 5.5 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON II ATF,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,drain & fill: 2.6 qt / 2.5 L | total (dry): 10.0 qt / 9.5 L,DEXRON II,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1987,Subaru,Alcyone,VR-II (JDM),,JDM,w/ filter: 4.2 qt / 4.0 L,10W-30 | 10W-40 (API SG),capacity: 5.8 qt / 5.5 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON II ATF,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,drain & fill: 2.6 qt / 2.5 L | total (dry): 10.0 qt / 9.5 L,DEXRON II,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1987,Subaru,BRAT,Base (US),,USDM,w/ filter: 4.2 qt / 4.0 L,10W-30 | 10W-40 (API SG),capacity: 5.8 qt / 5.5 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON II ATF,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,drain & fill: 2.6 qt / 2.5 L | total (dry): 10.0 qt / 9.5 L,DEXRON II,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1987,Subaru,GL,Wagon (US),,USDM,w/ filter: 4.2 qt / 4.0 L,10W-30 | 10W-40 (API SG),capacity: 5.8 qt / 5.5 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON II ATF,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,drain & fill: 2.6 qt / 2.5 L | total (dry): 10.0 qt / 9.5 L,DEXRON II,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1987,Subaru,GL-10,Turbo (US),,USDM,w/ filter: 4.2 qt / 4.0 L,10W-30 | 10W-40 (API SG),capacity: 5.8 qt / 5.5 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON II ATF,,,capacity: 2.9 qt / 2.7 L,80W-90 GL-4,drain & fill: 2.6 qt / 2.5 L | total (dry): 10.0 qt / 9.5 L,DEXRON II,,,,,capacity: 0.8 qt / 0.76 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1987,Subaru,Justy,4WD (JDM),,JDM,w/ filter: 3.0 qt / 2.8 L,10W-30 (API SG),MT: 4.5 qt / 4.3 L | ECVT: 5.2 qt / 4.9 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,FWD: 2.3 qt / 2.2 L | 4WD: 3.5 qt / 3.3 L,80W GL-4,initial fill: 1.9 qt / 1.8 L | total FWD: 3.6 qt / 3.4 L | total 4WD: 4.3 qt / 4.1 L,DEXRON II/III,,,,,capacity: 0.6 qt / 0.57 L,80W-90 GL-5,,,,R-12,,,front diff shared with manual trans; AT: ECVT; rear diff: 4WD only; washer: fill to max,dustysjustys.com,AMSOIL,high
