path,status,kind,type,role,purpose,confidence,notes
.agent,untracked,dir,unknown,config,Unknown; needs review,5,
Agents - Jules/Spec Keeper 📚🔧 .md,untracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/SpecAuditor.md,tracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/SpecHarvester.md,tracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/Swap Oracle.md,tracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/TEST FORGE🧪🩺.md,untracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/TorqueSaga.md,tracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/UX Route Keeper.md,tracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/VinWizard.md,tracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/Work Flow Wrench.md,tracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/WorkFlowMedic.md,tracked,file,docs,docs,Unknown; needs review,5,
Agents - Jules/fitment guard.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs,untracked,dir,unknown,config,Unknown; needs review,5,
Docs/AGENTS.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Antigravity,untracked,dir,unknown,config,Unknown; needs review,5,
Docs/Agents - Antigravity/Bolt⚡️.md,untracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Antigravity/Bug Eater🐛.md,untracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Antigravity/Idea Smith 💡🛠️ .md,untracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Antigravity/MODEL WARDEN 🗂️🚗.md,untracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Antigravity/Spec Keeper 📚🔧 .md,untracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Antigravity/TEST FORGE🧪🩺.md,untracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Jules,untracked,dir,unknown,config,Unknown; needs review,5,
Docs/Agents - Jules/AGENTS.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Jules/Bolt⚡️.md,untracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Jules/Bug Eater🐛.md,untracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Jules/Data Smith.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Jules/DocScribe.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Jules/Idea Smith 💡🛠️ .md,untracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Jules/MODEL WARDEN 🗂️🚗.md,untracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Jules/OEM xref.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Jules/Schema Mechanic.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Jules/Search Tuner.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Jules/Seed Janitor.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Jules/Spec Keeper 📚🔧 .md,untracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Jules/Swap Oracle.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Jules/TEST FORGE🧪🩺.md,untracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Jules/TorqueSaga.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Jules/UX Route Keeper.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Jules/VinWizard.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Jules/Work Flow Wrench.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Jules/YMMT UI Bridge.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/Agents - Jules/fitment guard.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/README.md,tracked,file,docs,docs,Project overview and documentation,10,
Docs/coverage,untracked,dir,unknown,config,Unknown; needs review,5,
Docs/coverage/subaru-ascent-usdm-coverage.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/coverage/subaru-baja-usdm-coverage.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/coverage/subaru-brat-usdm-coverage.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/coverage/subaru-brz-usdm-coverage.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/coverage/subaru-crosstrek-usdm-coverage.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/coverage/subaru-forester-usdm-coverage.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/coverage/subaru-gl-usdm-coverage.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/coverage/subaru-impreza-usdm-coverage.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/coverage/subaru-justy-usdm-coverage.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/coverage/subaru-legacy-usdm-coverage.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/coverage/subaru-outback-usdm-coverage.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/coverage/subaru-solterra-usdm-coverage.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/coverage/subaru-sti-usdm-coverage.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/coverage/subaru-svx-usdm-coverage.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/coverage/subaru-tribeca-usdm-coverage.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/coverage/subaru-wrx-usdm-coverage.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/coverage/subaru-xt-usdm-coverage.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/deps,untracked,dir,unknown,config,Unknown; needs review,5,
Docs/deps/dependency_update_report.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/impreza_wrx_sti_1993_2007_master.md,tracked,file,docs,docs,Unknown; needs review,5,
Docs/impreza_wrx_sti_1993_2007_seed.csv,tracked,file,unknown,config,Unknown; needs review,5,
LICENSE,tracked,file,unknown,config,Unknown; needs review,5,
README.md,tracked,file,docs,docs,Project overview and documentation,10,
analysis_options.yaml,tracked,file,config,config,Unknown; needs review,5,
android,untracked,dir,unknown,config,Unknown; needs review,5,
android/.gitignore,tracked,file,unknown,config,Unknown; needs review,5,
android/app,untracked,dir,unknown,config,Unknown; needs review,5,
android/app/build.gradle.kts,tracked,file,unknown,config,Unknown; needs review,5,
android/app/src,untracked,dir,unknown,config,Unknown; needs review,5,
android/app/src/debug,untracked,dir,unknown,config,Unknown; needs review,5,
android/app/src/debug/AndroidManifest.xml,tracked,file,config,config,Unknown; needs review,5,
android/app/src/main,untracked,dir,unknown,config,Unknown; needs review,5,
android/app/src/main/AndroidManifest.xml,tracked,file,config,config,Unknown; needs review,5,
android/app/src/main/kotlin,untracked,dir,unknown,config,Unknown; needs review,5,
android/app/src/main/kotlin/com,untracked,dir,unknown,config,Unknown; needs review,5,
android/app/src/main/kotlin/com/subaruparts,untracked,dir,unknown,config,Unknown; needs review,5,
android/app/src/main/kotlin/com/subaruparts/specsnparts,untracked,dir,unknown,config,Unknown; needs review,5,
android/app/src/main/kotlin/com/subaruparts/specsnparts/MainActivity.kt,tracked,file,unknown,config,Unknown; needs review,5,
android/app/src/main/res,untracked,dir,unknown,config,Unknown; needs review,5,
android/app/src/main/res/drawable,untracked,dir,unknown,config,Unknown; needs review,5,
android/app/src/main/res/drawable-v21,untracked,dir,unknown,config,Unknown; needs review,5,
android/app/src/main/res/drawable-v21/launch_background.xml,tracked,file,config,config,Unknown; needs review,5,
android/app/src/main/res/drawable/launch_background.xml,tracked,file,config,config,Unknown; needs review,5,
android/app/src/main/res/mipmap-hdpi,untracked,dir,unknown,config,Unknown; needs review,5,
android/app/src/main/res/mipmap-hdpi/ic_launcher.png,tracked,file,asset,config,Unknown; needs review,5,
android/app/src/main/res/mipmap-mdpi,untracked,dir,unknown,config,Unknown; needs review,5,
android/app/src/main/res/mipmap-mdpi/ic_launcher.png,tracked,file,asset,config,Unknown; needs review,5,
android/app/src/main/res/mipmap-xhdpi,untracked,dir,unknown,config,Unknown; needs review,5,
android/app/src/main/res/mipmap-xhdpi/ic_launcher.png,tracked,file,asset,config,Unknown; needs review,5,
android/app/src/main/res/mipmap-xxhdpi,untracked,dir,unknown,config,Unknown; needs review,5,
android/app/src/main/res/mipmap-xxhdpi/ic_launcher.png,tracked,file,asset,config,Unknown; needs review,5,
android/app/src/main/res/mipmap-xxxhdpi,untracked,dir,unknown,config,Unknown; needs review,5,
android/app/src/main/res/mipmap-xxxhdpi/ic_launcher.png,tracked,file,asset,config,Unknown; needs review,5,
android/app/src/main/res/values,untracked,dir,unknown,config,Unknown; needs review,5,
android/app/src/main/res/values-night,untracked,dir,unknown,config,Unknown; needs review,5,
android/app/src/main/res/values-night/styles.xml,tracked,file,config,config,Unknown; needs review,5,
android/app/src/main/res/values/styles.xml,tracked,file,config,config,Unknown; needs review,5,
android/app/src/main/res/xml,untracked,dir,unknown,config,Unknown; needs review,5,
android/app/src/main/res/xml/network_security_config.xml,tracked,file,config,config,Unknown; needs review,5,
android/app/src/profile,untracked,dir,unknown,config,Unknown; needs review,5,
android/app/src/profile/AndroidManifest.xml,tracked,file,config,config,Unknown; needs review,5,
android/build.gradle.kts,tracked,file,unknown,config,Unknown; needs review,5,
android/gradle,untracked,dir,unknown,config,Unknown; needs review,5,
android/gradle.properties,tracked,file,config,config,Unknown; needs review,5,
android/gradle/wrapper,untracked,dir,unknown,config,Unknown; needs review,5,
android/gradle/wrapper/gradle-wrapper.properties,tracked,file,config,config,Unknown; needs review,5,
android/settings.gradle.kts,tracked,file,unknown,config,Unknown; needs review,5,
artifacts,untracked,dir,unknown,config,Unknown; needs review,5,
artifacts/COMPARE_SCOPE.md,tracked,file,docs,docs,Unknown; needs review,5,
artifacts/IDEASMITH_SCOPE.md,tracked,file,docs,docs,Unknown; needs review,5,
artifacts/VINWIZARD_SCOPE.md,tracked,file,docs,docs,Unknown; needs review,5,
artifacts/lumen_coverage_report.md,tracked,file,docs,docs,Unknown; needs review,5,
artifacts/lumen_resolution_report.md,tracked,file,docs,docs,Unknown; needs review,5,
artifacts/lumen_resolution_v2_report.md,tracked,file,docs,docs,Unknown; needs review,5,
artifacts/lumen_wide_report.md,tracked,file,docs,docs,Unknown; needs review,5,
artifacts/testwarning.md,tracked,file,docs,docs,Unknown; needs review,5,
assets,untracked,dir,unknown,config,Unknown; needs review,5,
assets/seed,untracked,dir,unknown,asset,Unknown; needs review,5,
assets/seed/parts.json,tracked,file,config,asset,Unknown; needs review,5,
assets/seed/specs,untracked,dir,unknown,asset,Unknown; needs review,5,
assets/seed/specs/alignment.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/battery.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/brakes.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/bulbs.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/coolant.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/cooling.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/differential.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/dimensions.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/engine.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/engines.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/filters.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/fitment,untracked,dir,unknown,asset,Unknown; needs review,5,
assets/seed/specs/fitment/bulbs.csv,tracked,file,unknown,asset,Unknown; needs review,5,
assets/seed/specs/fitment/engines.csv,tracked,file,unknown,asset,Unknown; needs review,5,
assets/seed/specs/fitment/fluids.csv,tracked,file,unknown,asset,Unknown; needs review,5,
assets/seed/specs/fitment/maintenance.csv,tracked,file,unknown,asset,Unknown; needs review,5,
assets/seed/specs/fitment/torque_specs.csv,tracked,file,unknown,asset,Unknown; needs review,5,
assets/seed/specs/fluids.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/fuel.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/index.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/maintenance.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/maintenance_intervals.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/oil.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/spark_plugs.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/swap_rules.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/tires.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/torque.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/torque_specs.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/transmission.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/specs/wheels.json,tracked,file,config,asset,Specification seed data,9,
assets/seed/vehicles.json,tracked,file,config,asset,Unknown; needs review,5,
assets/textures,untracked,dir,unknown,asset,Unknown; needs review,5,
assets/textures/carbon.png,tracked,file,asset,asset,Unknown; needs review,5,
build,ignored,dir,unknown,config,Unknown; needs review,5,
devtools_options.yaml,tracked,file,config,config,Unknown; needs review,5,
ios,untracked,dir,unknown,config,Unknown; needs review,5,
ios/.gitignore,tracked,file,unknown,config,Unknown; needs review,5,
ios/Flutter,untracked,dir,unknown,config,Unknown; needs review,5,
ios/Flutter/AppFrameworkInfo.plist,tracked,file,config,config,Unknown; needs review,5,
ios/Flutter/Debug.xcconfig,tracked,file,unknown,config,Unknown; needs review,5,
ios/Flutter/Release.xcconfig,tracked,file,unknown,config,Unknown; needs review,5,
ios/Runner,untracked,dir,unknown,config,Unknown; needs review,5,
ios/Runner.xcodeproj,untracked,dir,unknown,config,Unknown; needs review,5,
ios/Runner.xcodeproj/project.pbxproj,tracked,file,unknown,config,Unknown; needs review,5,
ios/Runner.xcodeproj/project.xcworkspace,untracked,dir,unknown,config,Unknown; needs review,5,
ios/Runner.xcodeproj/project.xcworkspace/contents.xcworkspacedata,tracked,file,unknown,config,Unknown; needs review,5,
ios/Runner.xcodeproj/project.xcworkspace/xcshareddata,untracked,dir,unknown,config,Unknown; needs review,5,
ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist,tracked,file,config,config,Unknown; needs review,5,
ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings,tracked,file,unknown,config,Unknown; needs review,5,
ios/Runner.xcodeproj/xcshareddata,untracked,dir,unknown,config,Unknown; needs review,5,
ios/Runner.xcodeproj/xcshareddata/xcschemes,untracked,dir,unknown,config,Unknown; needs review,5,
ios/Runner.xcodeproj/xcshareddata/xcschemes/Runner.xcscheme,tracked,file,unknown,config,Unknown; needs review,5,
ios/Runner.xcworkspace,untracked,dir,unknown,config,Unknown; needs review,5,
ios/Runner.xcworkspace/contents.xcworkspacedata,tracked,file,unknown,config,Unknown; needs review,5,
ios/Runner.xcworkspace/xcshareddata,untracked,dir,unknown,config,Unknown; needs review,5,
ios/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist,tracked,file,config,config,Unknown; needs review,5,
ios/Runner.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings,tracked,file,unknown,config,Unknown; needs review,5,
ios/Runner/AppDelegate.swift,tracked,file,unknown,config,Unknown; needs review,5,
ios/Runner/Assets.xcassets,untracked,dir,unknown,config,Unknown; needs review,5,
ios/Runner/Assets.xcassets/AppIcon.appiconset,untracked,dir,unknown,asset,Unknown; needs review,5,
ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json,tracked,file,config,asset,Unknown; needs review,5,
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-1024x1024@1x.png,tracked,file,asset,asset,Unknown; needs review,5,
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-20x20@1x.png,tracked,file,asset,asset,Unknown; needs review,5,
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-20x20@2x.png,tracked,file,asset,asset,Unknown; needs review,5,
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-20x20@3x.png,tracked,file,asset,asset,Unknown; needs review,5,
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-29x29@1x.png,tracked,file,asset,asset,Unknown; needs review,5,
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-29x29@2x.png,tracked,file,asset,asset,Unknown; needs review,5,
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-29x29@3x.png,tracked,file,asset,asset,Unknown; needs review,5,
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@1x.png,tracked,file,asset,asset,Unknown; needs review,5,
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@2x.png,tracked,file,asset,asset,Unknown; needs review,5,
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@3x.png,tracked,file,asset,asset,Unknown; needs review,5,
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-60x60@2x.png,tracked,file,asset,asset,Unknown; needs review,5,
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-60x60@3x.png,tracked,file,asset,asset,Unknown; needs review,5,
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-76x76@1x.png,tracked,file,asset,asset,Unknown; needs review,5,
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-76x76@2x.png,tracked,file,asset,asset,Unknown; needs review,5,
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-83.5x83.5@2x.png,tracked,file,asset,asset,Unknown; needs review,5,
ios/Runner/Assets.xcassets/LaunchImage.imageset,untracked,dir,unknown,asset,Unknown; needs review,5,
ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json,tracked,file,config,asset,Unknown; needs review,5,
ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage.png,tracked,file,asset,asset,Unknown; needs review,5,
ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage@2x.png,tracked,file,asset,asset,Unknown; needs review,5,
ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage@3x.png,tracked,file,asset,asset,Unknown; needs review,5,
ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md,tracked,file,docs,asset,Project overview and documentation,10,
ios/Runner/Base.lproj,untracked,dir,unknown,config,Unknown; needs review,5,
ios/Runner/Base.lproj/LaunchScreen.storyboard,tracked,file,unknown,config,Unknown; needs review,5,
ios/Runner/Base.lproj/Main.storyboard,tracked,file,unknown,config,Unknown; needs review,5,
ios/Runner/Info.plist,tracked,file,config,config,Unknown; needs review,5,
ios/Runner/Runner-Bridging-Header.h,tracked,file,unknown,config,Unknown; needs review,5,
ios/RunnerTests,untracked,dir,unknown,config,Unknown; needs review,5,
ios/RunnerTests/RunnerTests.swift,tracked,file,unknown,config,Unknown; needs review,5,
lib,untracked,dir,unknown,config,Unknown; needs review,5,
lib/app.dart,tracked,file,dart,core,Unknown; needs review,5,
lib/data,untracked,dir,unknown,data,Unknown; needs review,5,
lib/data/db,untracked,dir,unknown,data,Unknown; needs review,5,
lib/data/db/app_db.dart,tracked,file,dart,data,Unknown; needs review,5,
lib/data/db/app_db.g.dart,tracked,file,generated,data,Unknown; needs review,5,
lib/data/db/dao,untracked,dir,unknown,data,Unknown; needs review,5,
lib/data/db/dao/parts_dao.dart,tracked,file,dart,data,Unknown; needs review,5,
lib/data/db/dao/parts_dao.g.dart,tracked,file,generated,data,Unknown; needs review,5,
lib/data/db/dao/specs_dao.dart,tracked,file,dart,data,Unknown; needs review,5,
lib/data/db/dao/specs_dao.g.dart,tracked,file,generated,data,Unknown; needs review,5,
lib/data/db/dao/vehicles_dao.dart,tracked,file,dart,data,Unknown; needs review,5,
lib/data/db/dao/vehicles_dao.g.dart,tracked,file,generated,data,Unknown; needs review,5,
lib/data/db/tables.dart,tracked,file,dart,data,Unknown; needs review,5,
lib/data/seed,untracked,dir,unknown,data,Unknown; needs review,5,
lib/data/seed/seed_runner.dart,tracked,file,dart,data,Unknown; needs review,5,
lib/domain,untracked,dir,unknown,app,Unknown; needs review,5,
lib/domain/fitment,untracked,dir,unknown,app,Unknown; needs review,5,
lib/domain/fitment/fitment_key.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/features,untracked,dir,unknown,app,Unknown; needs review,5,
lib/features/browse_engine,untracked,dir,unknown,app,Unknown; needs review,5,
lib/features/browse_engine/engine_flow_page.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/features/browse_ymm,untracked,dir,unknown,app,Unknown; needs review,5,
lib/features/browse_ymm/ymm_flow_page.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/features/comparison,untracked,dir,unknown,app,Unknown; needs review,5,
lib/features/comparison/comparison_page.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/features/comparison/comparison_provider.dart,tracked,file,dart,state,Unknown; needs review,5,
lib/features/global_search,untracked,dir,unknown,app,Unknown; needs review,5,
lib/features/global_search/global_search_overlay.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/features/global_search/global_search_provider.dart,tracked,file,dart,state,Unknown; needs review,5,
lib/features/home,untracked,dir,unknown,app,Unknown; needs review,5,
lib/features/home/garage_providers.dart,tracked,file,dart,state,Unknown; needs review,5,
lib/features/home/garage_view.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/features/home/home_page.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/features/part_lookup,untracked,dir,unknown,app,Unknown; needs review,5,
lib/features/part_lookup/part_lookup_page.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/features/part_lookup/part_search_provider.dart,tracked,file,dart,state,Unknown; needs review,5,
lib/features/part_lookup/widgets,untracked,dir,unknown,ui,Unknown; needs review,5,
lib/features/part_lookup/widgets/part_dialog.dart,tracked,file,dart,ui,Unknown; needs review,5,
lib/features/settings,untracked,dir,unknown,app,Unknown; needs review,5,
lib/features/settings/settings_page.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/features/specs,untracked,dir,unknown,app,Unknown; needs review,5,
lib/features/specs/spec_list_controller.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/features/specs/spec_list_page.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/features/specs_by_category,untracked,dir,unknown,app,Unknown; needs review,5,
lib/features/specs_by_category/category_year_picker_page.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/features/specs_by_category/category_year_results_controller.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/features/specs_by_category/category_year_results_page.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/features/specs_by_category/spec_category_keys.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/features/specs_by_category/specs_by_category_hub_page.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/features/vin_wizard,untracked,dir,unknown,app,Unknown; needs review,5,
lib/features/vin_wizard/vin_decoder.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/main.dart,tracked,file,dart,core,App entry point,10,
lib/previews,untracked,dir,unknown,app,Unknown; needs review,5,
lib/previews/browse_previews.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/previews/components_previews.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/previews/fitment_previews.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/previews/home_previews.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/previews/part_lookup_previews.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/previews/preview_wrappers.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/previews/settings_previews.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/previews/specs_by_category_previews.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/previews/specs_previews.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/router,untracked,dir,unknown,routing,Unknown; needs review,5,
lib/router/app_router.dart,tracked,file,dart,routing,Routing configuration,10,
lib/theme,untracked,dir,unknown,app,Unknown; needs review,5,
lib/theme/app_theme.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/theme/neon_shadows.dart,tracked,file,dart,app,Unknown; needs review,5,
